% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
0.0578521587792607        8.041964642981368
0.05842286688463282       8.036650366322547
0.05930020005625547       8.028480881515733
0.06058805407649404       8.016488739656682
0.06113100861439344       8.011432896572618
0.06214641702179391       7.998345376105908
0.06214641702179391       8.001977693207124
0.06325611420305632       7.9667836550416755
0.06381934620027642       7.950764355821245
0.06507878580681717       7.914943699312358
0.06662252712376698       7.871037006870857
0.06937793251312722       7.792668477341969
0.0698673919681702        7.778747397741904
0.07001402654023511       7.774576855056898
0.07016727457837343       7.770218213875291
0.0707605080032044        7.753345621787423
0.07109863722574007       7.743728637635766
0.07145597956383705       7.733565199005934
0.07216228806596263       7.7134765547291
0.07494926727365306       7.634210010801429
0.07557474732771316       7.616420268400686
0.07755282236414955       7.560160368314139
0.0795248916079561        7.502781177402597
0.07996796272633994       7.4844456201493
0.07996859971592668       7.486113042188578
0.08028092024648575       7.4788174799181855
0.0816466326395659        7.429613215162265
0.08382822315622271       7.354429024298783
0.08509984497384329       7.310605100096616
0.08679711641113447       7.252112005854562
0.08768928505696733       7.221365182727798
0.0887552689646417        7.184628161293174
0.08894973582786156       7.177926246497841
0.0901784470582763        7.135581150588108
0.09155034695771191       7.088301341156788
0.0923069201195682        7.062227547487056
0.09388967021589785       7.007681204154977
0.09525704914270929       6.960557201079658
0.09541140885845649       6.950476635745054
0.0954114088584565        6.955237499585836
0.0955543615424082        6.945230735786296
0.0974115293358515        6.877078699869866
0.0982444689524167        6.84651251685464
0.09922540183403197       6.810515460899081
0.09970802524269375       6.792804746769027
0.10025765990738758       6.772634936835128
0.10029420726385609       6.77129376736219
0.101637396481709         6.722003078529002
0.10303939480960744       6.670554286053163
0.1049609582723669        6.600039137884001
0.10524623176860821       6.589570525607565
0.10539851999018773       6.583982041689538
0.10685338778518293       6.530593111207201
0.10914682440197346       6.446431424131062
0.1095640913943855        6.430270201712199
0.10976645132479268       6.423293183863709
0.11064866243282873       6.392172673065768
0.11190244736296509       6.346637783588777
0.11248304488453667       6.325317207904821
0.11329817336385303       6.295539464105606
0.11471507873480594       6.244908581926133
0.11521967050183131       6.227285892328895
0.11589645094013878       6.203649574082792
0.1183026914048537        6.119612474040584
0.11930903314366562       6.084466343543104
0.1193652075825441        6.082504471066487
0.12010933811073406       6.056515974671813
0.12128073158017041       6.015605470662203
0.1227905810778239        5.962874509171208
0.1239029875525253        5.924024105160094
0.12449644302807861       5.903297881866537
0.12556679281325944       5.865916292912141
0.12666501222020202       5.8275613672416195
0.1283566881704955        5.768480180985094
0.12849694196138495       5.769601977625257
0.12849694196138495       5.763581866777055
0.13004554703174637       5.716949305293986
0.1312167954943491        5.677126781979171
0.131669351622065         5.657861522092458
0.13301707856516756       5.612355677059961
0.13480630478036987       5.5570914744269295
0.1372263083500761        5.482344320314944
0.13815832520749158       5.453556921590299
0.1390418152218657        5.426268381570162
0.14205135270457553       5.33331217074393
0.1436160553036876        5.2849828757878
0.14464729879291816       5.253130643426902
0.14561874242112555       5.223125461824002
0.14929640062878125       5.1095328670609526
0.15092480512310466       5.059235998404439
0.15113627237834473       5.052704365263509
0.15427058774669128       4.960407265677809
0.15646602372228802       4.902541592019906
0.1569883500431601        4.894995714595769
0.1574333630839666        4.882625474422813
0.15794645356370826       4.866944917414621
0.15833571441548963       4.850311508791464
0.15917849859907768       4.825445776744132
0.15981528206992168       4.813301919187543
0.1619086910343875        4.759730511610749
0.16243077915108797       4.746370009307805
0.16333177846260766       4.723312975463429
0.16600185530496006       4.654984341540981
0.1664062592442085        4.64463543761305
0.1665876888514137        4.639992561042316
0.16681424932776365       4.6341947624156
0.17008057423436873       4.550607835150016
0.17017366229435388       4.548225664018315
0.17090382745402954       4.529540363615327
0.1723046489045897        4.4936926252402305
0.1749574590759427        4.425805854272071
0.17540139566385052       4.416838808007313
0.17540766924535758       4.419089368057735
0.1755862687928761        4.415019556470615
0.17674158857124095       4.388692872634399
0.17713771154705835       4.379666277106568
0.17897607191762896       4.337774903688269
0.17919302956343414       4.33283101243502
0.17931574398494632       4.33003467514573
0.18233308202699916       4.26127751704312
0.18242225118537977       4.259573669274777
0.1825507481714074        4.256928663158804
0.18276885743046092       4.251882179276883
0.18284078744879365       4.25021790477649
0.18304521917701655       4.242976948480871
0.18326441185814366       4.236055949842149
0.18333860691665496       4.234563176809391
0.1875261041014904        4.150312513790931
0.18848019391224768       4.131116632435697
